"","Group","Site","d15N","d13C","FG","base_N","TP_calc"
"1","Lednia","Cloudveil",-1.4,-19.95,"Consumer",-1.69,2.08529411764706
"2","Lednia","Cloudveil",-1.19,-19.9,"Consumer",-1.69,2.14705882352941
"3","Zapada","Delta",-1.68,-23.31,"Consumer",-2.75375,2.31580882352941
"4","Zapada","Delta",-1.4,-24.16,"Consumer",-2.75375,2.39816176470588
"5","Zapada","Delta",-1.98,-21.71,"Consumer",-2.75375,2.22757352941176
"6","Simuliidae","Delta",0.42,-24.06,"Consumer",-2.75375,2.93345588235294
"7","Acari","WindCave",-0.27,-30.15,"Consumer",-1.09285714285714,2.24201680672269
"8","Acari","WindCave",0.77,-33.94,"Consumer",-1.09285714285714,2.54789915966387
"9","Zapada","Delta",-1.43,-23.9,"Consumer",-2.75375,2.38933823529412
"10","Zapada","Delta",-1.46,-23.79,"Consumer",-2.75375,2.38051470588235
"11","Zapada","Delta",-0.98,-23.28,"Consumer",-2.75375,2.52169117647059
"12","Allomyia","Delta",-1.6,-22.51,"Consumer",-2.75375,2.33933823529412
"13","Allomyia","Delta",-1.38,-22.93,"Consumer",-2.75375,2.40404411764706
"14","Simuliidae","Cloudveil",0.13,-21.7,"Consumer",-1.69,2.53529411764706
"15","Lednia","Cloudveil",-0.64,-21.2,"Consumer",-1.69,2.30882352941176
"16","Lednia","Cloudveil",-0.64,-20.85,"Consumer",-1.69,2.30882352941176
"17","Lednia","Cloudveil",-1.69,-20.72,"Consumer",-1.69,2
"18","Lednia","Cloudveil",-1.73,-20.86,"Consumer",-1.69,1.98823529411765
"19","Megarcys","Cloudveil",2.85,-20.1,"Consumer",-1.69,3.33529411764706
"20","Rhyacophila","Delta",-0.11,-22.03,"Consumer",-2.75375,2.77757352941176
"21","Rhyacophila","Delta",0.52,-21.69,"Consumer",-2.75375,2.96286764705882
"22","Heterocloeon","Cloudveil",-2.22,-21.56,"Consumer",-1.69,1.84411764705882
"23","Ameletidae","Cloudveil",2.12,-20.99,"Consumer",-1.69,3.12058823529412
"24","Turbellaria","Cloudveil",4.32,-21.87,"Consumer",-1.69,3.76764705882353
"25","Zapada","Cloudveil",-1.52,-20.03,"Consumer",-1.69,2.05
"26","Megarcys","Cloudveil",2.16,-20.63,"Consumer",-1.69,3.13235294117647
"27","Megarcys","WindCave",1.96,-31.32,"Consumer",-1.09285714285714,2.89789915966387
"28","Megarcys","WindCave",0,-23.58,"Consumer",-1.09285714285714,2.32142857142857
"29","Rhyacophila","WindCave",3.73,-25.41,"Consumer",-1.09285714285714,3.41848739495798
"30","Lednia","WindCave",0.57,-33.39,"Consumer",-1.09285714285714,2.4890756302521
"31","Lednia","Cloudveil",-0.83,-21.36,"Consumer",-1.69,2.25294117647059
"32","Lednia","Cloudveil",-1.03,-21.36,"Consumer",-1.69,2.19411764705882
"33","Megarcys","Cloudveil",2.46,-20.55,"Consumer",-1.69,3.22058823529412
"34","Simuliidae","Skillet",0.05,-23.54,"Consumer",0.955,1.73382352941176
"35","Simuliidae","Skillet",0.18,-23.61,"Consumer",0.955,1.77205882352941
"36","Simuliidae","Skillet",0.63,-22.73,"Consumer",0.955,1.90441176470588
"37","Simuliidae","Skillet",0.46,-23.92,"Consumer",0.955,1.85441176470588
"38","Simuliidae","Skillet",0.54,-23.48,"Consumer",0.955,1.87794117647059
"39","Simuliidae","Skillet",0.28,-23.45,"Consumer",0.955,1.80147058823529
"40","Rhyacophila","Skillet",2.02,-24.38,"Consumer",0.955,2.31323529411765
"41","Megarcys","Delta",0.58,-23.11,"Consumer",-2.75375,2.98051470588235
"42","Agathon","Skillet",1.29,-24.51,"Consumer",0.955,2.09852941176471
"43","Tipula","Delta",-3.63,-24.77,"Consumer",-2.75375,1.74227941176471
"44","Midges","Skillet",1.42,-22.94,"Baseline",0.955,2.13676470588235
"45","Midges","Skillet",0.14,-25.34,"Baseline",0.955,1.76029411764706
"46","Ameletidae","Delta",-0.87,-22.26,"Consumer",-2.75375,2.55404411764706
"47","Ameletidae","Delta",-1.04,-25.21,"Consumer",-2.75375,2.50404411764706
"48","Lednia","Skillet",0.01,-23.02,"Consumer",0.955,1.72205882352941
"49","Lednia","Skillet",0.28,-24.05,"Consumer",0.955,1.80147058823529
"50","Lednia","Skillet",-0.16,-22.17,"Consumer",0.955,1.67205882352941
"51","Midges","Skillet",1.59,-24.22,"Baseline",0.955,2.18676470588235
"52","Midges","Skillet",0.95,-25.87,"Baseline",0.955,1.99852941176471
"53","Midges","Skillet",0.96,-25.22,"Baseline",0.955,2.00147058823529
"54","Midges","Skillet",0.94,-24.85,"Baseline",0.955,1.99558823529412
"55","Midges","Skillet",0.92,-25.21,"Baseline",0.955,1.98970588235294
"56","Midges","Skillet",0.72,-24.28,"Baseline",0.955,1.93088235294118
"57","BaetidAmeletid","Gusher",-1.89,-24.74,"Consumer",-3.74714285714286,2.54621848739496
"58","Midges","Gusher",-3.67,-27.86,"Baseline",-3.74714285714286,2.02268907563025
"59","Midges","Gusher",-3.6,-27.21,"Baseline",-3.74714285714286,2.04327731092437
"60","Midges","Gusher",-3.66,-27.42,"Baseline",-3.74714285714286,2.02563025210084
"61","Midges","Gusher",-3.49,-27.46,"Baseline",-3.74714285714286,2.07563025210084
"62","Midges","Gusher",-3.66,-27.24,"Baseline",-3.74714285714286,2.02563025210084
"63","Midges","Gusher",-3.73,-27.42,"Baseline",-3.74714285714286,2.00504201680672
"64","Midges","Gusher",-4.42,-26.43,"Baseline",-3.74714285714286,1.80210084033613
"65","Lednia","Skillet",-0.24,-22.81,"Consumer",0.955,1.64852941176471
"66","Lednia","Skillet",0.22,-22.79,"Consumer",0.955,1.78382352941176
"67","Lednia","Skillet",0.18,-23,"Consumer",0.955,1.77205882352941
"68","Lednia","Delta",-1.41,-23.24,"Consumer",-2.75375,2.39522058823529
"69","Lednia","Delta",-0.43,-24.36,"Consumer",-2.75375,2.68345588235294
"70","Lednia","Delta",-0.22,-24.09,"Consumer",-2.75375,2.74522058823529
"71","Simuliidae","Gusher",-2.65,-27.13,"Consumer",-3.74714285714286,2.32268907563025
"72","Megarcys","Delta",0.57,-22.84,"Consumer",-2.75375,2.97757352941176
"73","Zapada","Gusher",-3.46,-24.06,"Consumer",-3.74714285714286,2.08445378151261
"74","Megarcys","Gusher",-2.87,-25.18,"Consumer",-3.74714285714286,2.25798319327731
"75","Zapada","Gusher",-3.72,-23.63,"Consumer",-3.74714285714286,2.00798319327731
"76","Zapada","Gusher",-3.66,-24.69,"Consumer",-3.74714285714286,2.02563025210084
"77","Zapada","Gusher",-3.54,-24.51,"Consumer",-3.74714285714286,2.0609243697479
"78","Zapada","Gusher",-3.64,-24.77,"Consumer",-3.74714285714286,2.03151260504202
"79","Allomyia","Skillet",0.39,-23.16,"Consumer",0.955,1.83382352941176
"80","Allomyia","Skillet",-1,-22.17,"Consumer",0.955,1.425
"81","Allomyia","Skillet",1.05,-23.52,"Consumer",0.955,2.02794117647059
"82","Allomyia","Skillet",0.76,-22.72,"Consumer",0.955,1.94264705882353
"83","Allomyia","Skillet",1.09,-23.92,"Consumer",0.955,2.03970588235294
"84","Rhyacophila","Skillet",1.03,-23.7,"Consumer",0.955,2.02205882352941
"85","Rhyacophila","Skillet",0.92,-22.1,"Consumer",0.955,1.98970588235294
"86","Rhyacophila","Skillet",1.22,-23.65,"Consumer",0.955,2.07794117647059
"87","Rhyacophila","Skillet",2.03,-23.77,"Consumer",0.955,2.31617647058824
"88","Lednia","Gusher",-3.6,-26.25,"Consumer",-3.74714285714286,2.04327731092437
"89","Lednia","Gusher",-3.84,-26.57,"Consumer",-3.74714285714286,1.97268907563025
"90","Lednia","Gusher",-3.43,-25.88,"Consumer",-3.74714285714286,2.09327731092437
"91","Turbellaria","Gusher",1.17,-26.03,"Consumer",-3.74714285714286,3.44621848739496
"92","Turbellaria","Gusher",0.7,-24.68,"Consumer",-3.74714285714286,3.30798319327731
"93","Turbellaria","Gusher",0.78,-25.84,"Consumer",-3.74714285714286,3.33151260504202
"94","Homophylax","Paintbrush",-0.64,-23.89,"Consumer",-2.70166666666667,2.60637254901961
"95","Homophylax","Paintbrush",-0.82,-24.22,"Consumer",-2.70166666666667,2.55343137254902
"96","Lednia","Paintbrush",-1.26,-22.24,"Consumer",-2.70166666666667,2.42401960784314
"97","Megarcys","Delta",0.04,-22.39,"Consumer",-2.75375,2.82169117647059
"98","Rhyacophila","Delta",-0.31,-21.81,"Consumer",-2.75375,2.71875
"99","Rhyacophila","Delta",0.58,-21.68,"Consumer",-2.75375,2.98051470588235
"100","Lednia","Delta",1.2,-25.18,"Consumer",-2.75375,3.16286764705882
"101","Lednia","Delta",-0.93,-23.55,"Consumer",-2.75375,2.53639705882353
"102","Lednia","Delta",1.15,-24.4,"Consumer",-2.75375,3.14816176470588
"103","Megarcys","Delta",0.84,-22.68,"Consumer",-2.75375,3.05698529411765
"104","Megarcys","Delta",-0.46,-21.96,"Consumer",-2.75375,2.67463235294118
"105","Megarcys","Delta",-0.17,-22.12,"Consumer",-2.75375,2.75992647058824
"106","Rhyacophila","Delta",0.93,-21.76,"Consumer",-2.75375,3.08345588235294
"107","Zapada","Delta",-0.98,-23.65,"Consumer",-2.75375,2.52169117647059
"108","Zapada","Delta",-0.61,-24.52,"Consumer",-2.75375,2.63051470588235
"109","Rhyacophila","Delta",0.07,-24.57,"Consumer",-2.75375,2.83051470588235
"110","Zapada","Delta",-0.3,-23.24,"Consumer",-2.75375,2.72169117647059
"111","Homophylax","Grizzly",0.16,-24.12,"Baseline",-0.21,2.10882352941176
"112","Homophylax","Grizzly",-0.34,-23.51,"Baseline",-0.21,1.96176470588235
"113","Homophylax","Grizzly",-0.29,-23.54,"Baseline",-0.21,1.97647058823529
"114","Megarcys","Delta",0.26,-22.08,"Consumer",-2.75375,2.88639705882353
"115","Homophylax","Delta",-0.25,-24.27,"Consumer",-2.75375,2.73639705882353
"116","Allomyia","WindCave",-0.96,-34.76,"Consumer",-1.09285714285714,2.0390756302521
"117","Baetidae","Delta",1.87,-22.5,"Consumer",-2.75375,3.35992647058824
"118","Baetidae","Delta",-0.56,-20.98,"Consumer",-2.75375,2.64522058823529
"119","Turbellaria","WindCave",4.81,-32.14,"Consumer",-1.09285714285714,3.73613445378151
"120","Turbellaria","WindCave",4.83,-32.02,"Consumer",-1.09285714285714,3.74201680672269
"121","Homophylax","Grizzly",-0.47,-23.74,"Baseline",-0.21,1.92352941176471
"122","Homophylax","Grizzly",-0.27,-24.87,"Baseline",-0.21,1.98235294117647
"123","Homophylax","Grizzly",-0.19,-24.37,"Baseline",-0.21,2.00588235294118
"124","Homophylax","Grizzly",-0.07,-24.91,"Baseline",-0.21,2.04117647058824
"125","Clinocera","WindCave",1.76,-32.37,"Consumer",-1.09285714285714,2.8390756302521
"126","Midges","WindCave",-1.33,-35.37,"Baseline",-1.09285714285714,1.93025210084034
"127","Midges","WindCave",-1.29,-34.12,"Baseline",-1.09285714285714,1.94201680672269
"128","Midges","WindCave",-1.19,-30.19,"Baseline",-1.09285714285714,1.97142857142857
"129","Midges","WindCave",-1.09,-34.37,"Baseline",-1.09285714285714,2.00084033613445
"130","Zapada","WindCave",0.27,-31.76,"Consumer",-1.09285714285714,2.40084033613445
"131","Zapada","WindCave",0.18,-32.93,"Consumer",-1.09285714285714,2.37436974789916
"132","Zapada","WindCave",-0.01,-32.26,"Consumer",-1.09285714285714,2.31848739495798
"133","Simuliidae","WindCave",-0.11,-32.79,"Consumer",-1.09285714285714,2.2890756302521
"134","Simuliidae","NFTC",-0.38,-21.09,"Consumer",-2.22857142857143,2.5436974789916
"135","Simuliidae","NFTC",-0.14,-20.71,"Consumer",-2.22857142857143,2.61428571428571
"136","Simuliidae","NFTC",-0.44,-21.57,"Consumer",-2.22857142857143,2.52605042016807
"137","Tipula","NFTC",-2.74,-15.23,"Consumer",-2.22857142857143,1.84957983193277
"138","Megarcys","NFTC",1.08,-25.7,"Consumer",-2.22857142857143,2.97310924369748
"139","Homophylax","NFTC",-1.12,-23.19,"Consumer",-2.22857142857143,2.32605042016807
"140","Homophylax","NFTC",-0.46,-20.86,"Consumer",-2.22857142857143,2.52016806722689
"141","Homophylax","NFTC",-0.71,-20.58,"Consumer",-2.22857142857143,2.44663865546219
"142","Turbellaria","NFTC",4.66,-24.8,"Consumer",-2.22857142857143,4.02605042016807
"143","Turbellaria","NFTC",4.44,-23.39,"Consumer",-2.22857142857143,3.96134453781513
"144","Turbellaria","NFTC",4.49,-23.6,"Consumer",-2.22857142857143,3.97605042016807
"145","Megarcys","NFTC",-0.5,-22.53,"Consumer",-2.22857142857143,2.50840336134454
"146","Megarcys","NFTC",-0.35,-22.4,"Consumer",-2.22857142857143,2.55252100840336
"147","Allomyia","NFTC",-1.65,-22.16,"Consumer",-2.22857142857143,2.17016806722689
"148","Rhyacophila","NFTC",-0.48,-20.79,"Consumer",-2.22857142857143,2.51428571428571
"149","Rhyacophila","WindCave",2.15,-32.96,"Consumer",-1.09285714285714,2.95378151260504
"150","Megarcys","WindCave",0.38,-33.4,"Consumer",-1.09285714285714,2.43319327731092
"151","Megarcys","WindCave",-0.16,-32.61,"Consumer",-1.09285714285714,2.27436974789916
"152","Zapada","WindCave",-0.2,-32.6,"Consumer",-1.09285714285714,2.26260504201681
"153","Zapada","WindCave",0.03,-32.45,"Consumer",-1.09285714285714,2.33025210084034
"154","Allomyia","WindCave",-0.36,-33,"Consumer",-1.09285714285714,2.2155462184874
"155","Zapada","WindCave",-0.17,-32.11,"Consumer",-1.09285714285714,2.27142857142857
"156","Zapada","WindCave",-0.08,-31.98,"Consumer",-1.09285714285714,2.29789915966387
"157","Zapada","WindCave",0.07,-31.6,"Consumer",-1.09285714285714,2.34201680672269
"158","Megarcys","WindCave",2.41,-30.48,"Consumer",-1.09285714285714,3.03025210084034
"159","Zapada","WindCave",-0.19,-35.69,"Consumer",-1.09285714285714,2.26554621848739
"160","Zapada","WindCave",-0.17,-34.95,"Consumer",-1.09285714285714,2.27142857142857
"161","Zapada","WindCave",-0.28,-35.03,"Consumer",-1.09285714285714,2.2390756302521
"162","Megarcys","WindCave",2,-32.07,"Consumer",-1.09285714285714,2.90966386554622
"163","Midges","Delta",-3.17,-23.11,"Baseline",-2.75375,1.87757352941176
"164","Midges","Delta",-2.86,-23.93,"Baseline",-2.75375,1.96875
"165","Midges","Delta",-2.74,-23.52,"Baseline",-2.75375,2.00404411764706
"166","Midges","Delta",-2.63,-23.39,"Baseline",-2.75375,2.03639705882353
"167","Midges","Delta",-3.16,-23.11,"Baseline",-2.75375,1.88051470588235
"168","Megarcys","WindCave",0.33,-31.43,"Consumer",-1.09285714285714,2.41848739495798
"169","Megarcys","WindCave",0.34,-29.95,"Consumer",-1.09285714285714,2.42142857142857
"170","Megarcys","WindCave",-0.1,-30.78,"Consumer",-1.09285714285714,2.29201680672269
"171","Megarcys","WindCave",-0.26,-32.5,"Consumer",-1.09285714285714,2.24495798319328
"172","Rhyacophila","WindCave",3.28,-28.36,"Consumer",-1.09285714285714,3.28613445378151
"173","Rhyacophila","WindCave",2.13,-31.28,"Consumer",-1.09285714285714,2.94789915966387
"174","Zapada","WindCave",-0.07,-31.93,"Consumer",-1.09285714285714,2.30084033613445
"175","Zapada","WindCave",-0.13,-30.02,"Consumer",-1.09285714285714,2.28319327731092
"176","Zapada","WindCave",0.36,-33.66,"Consumer",-1.09285714285714,2.42731092436975
"177","Rhyacophila","WindCave",2.69,-30.9,"Consumer",-1.09285714285714,3.11260504201681
"178","Rhyacophila","WindCave",2.52,-33.79,"Consumer",-1.09285714285714,3.06260504201681
"179","Rhyacophila","WindCave",2.44,-31.03,"Consumer",-1.09285714285714,3.0390756302521
"180","Rhyacophila","WindCave",2.08,-32.27,"Consumer",-1.09285714285714,2.93319327731092
"181","Allomyia","SFTC",0.55,-26.51,"Consumer",-0.154285714285714,2.20714285714286
"182","Allomyia","SFTC",0.4,-25.83,"Consumer",-0.154285714285714,2.16302521008403
"183","Baetidae","SFTC",1.11,-24.41,"Consumer",-0.154285714285714,2.3718487394958
"184","Baetidae","SFTC",1.08,-23.29,"Consumer",-0.154285714285714,2.36302521008403
"185","Baetidae","SFTC",0.91,-22.24,"Consumer",-0.154285714285714,2.31302521008403
"186","Baetidae","SFTC",0.91,-22.79,"Consumer",-0.154285714285714,2.31302521008403
"187","Cinygmula","SFTC",1.11,-24.39,"Consumer",-0.154285714285714,2.3718487394958
"188","Cinygmula","SFTC",0.95,-25.06,"Consumer",-0.154285714285714,2.32478991596639
"189","Cinygmula","SFTC",1.33,-24.82,"Consumer",-0.154285714285714,2.43655462184874
"190","Cinygmula","SFTC",0.83,-24.62,"Consumer",-0.154285714285714,2.28949579831933
"191","Cinygmula","SFTC",0.85,-25.34,"Consumer",-0.154285714285714,2.2953781512605
"192","Cinygmula","SFTC",0.51,-26.43,"Consumer",-0.154285714285714,2.1953781512605
"193","Cinygmula","SFTC",0.55,-26.69,"Consumer",-0.154285714285714,2.20714285714286
"194","Epeorus","SFTC",0.4,-26.08,"Consumer",-0.154285714285714,2.16302521008403
"195","Epeorus","SFTC",0.89,-24.69,"Consumer",-0.154285714285714,2.30714285714286
