"","site","X","taxa","source","Mean","SD","Primary_water_source","Riparian_habitat","Elevation","Tmean","Tmax","DO_mg_L","SPC","TSS_g_L","Chla_mg_m2","pH","slope","aspect","aspect_beers","fluoride","chloride","nitrate","sulfate","Notes","PCA1","PCA2","PCA3","PCA4","H","D","variable"
"1","AK Basin",1,"Allomyia","Biofilm",0.012,0.014,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"2","AK Basin",2,"Allomyia","CPOM",0.264,0.084,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"3","AK Basin",3,"Allomyia","Hydrurus",0.724,0.084,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"4","AK Basin",4,"Ameletidae","Biofilm",0.017,0.028,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"5","AK Basin",5,"Ameletidae","CPOM",0.145,0.08,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"6","AK Basin",6,"Ameletidae","Hydrurus",0.838,0.085,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"7","AK Basin",7,"Baetidae","Biofilm",0.023,0.039,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"8","AK Basin",8,"Baetidae","CPOM",0.132,0.083,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"9","AK Basin",9,"Baetidae","Hydrurus",0.845,0.092,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"10","AK Basin",10,"Drunella","Biofilm",0.026,0.043,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"11","AK Basin",11,"Drunella","CPOM",0.397,0.15,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"12","AK Basin",12,"Drunella","Hydrurus",0.577,0.15,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"13","AK Basin",13,"Heptageniidae","Biofilm",0.019,0.028,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"14","AK Basin",14,"Heptageniidae","CPOM",0.219,0.078,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"15","AK Basin",15,"Heptageniidae","Hydrurus",0.762,0.08,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"16","AK Basin",16,"Homophylax","Biofilm",0.03,0.053,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"17","AK Basin",17,"Homophylax","CPOM",0.251,0.149,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"18","AK Basin",18,"Homophylax","Hydrurus",0.719,0.155,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"19","AK Basin",19,"Rithrogena","Biofilm",0.013,0.022,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"20","AK Basin",20,"Rithrogena","CPOM",0.108,0.064,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"21","AK Basin",21,"Rithrogena","Hydrurus",0.879,0.069,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"22","AK Basin",22,"Tipula","Biofilm",0.015,0.02,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"23","AK Basin",23,"Tipula","CPOM",0.494,0.091,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"24","AK Basin",24,"Tipula","Hydrurus",0.491,0.09,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"25","AK Basin",25,"Zapada","Biofilm",0.018,0.023,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"26","AK Basin",26,"Zapada","CPOM",0.339,0.054,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"27","AK Basin",27,"Zapada","Hydrurus",0.642,0.053,"Subterranean ice","Alpine tundra",2881,1.6,1.9,10.9,226,0.032184211,1.682627285,7.84,3,330,0.366657469,398.7,795.7,609.3,27961.8,"",2.22907367118778,-2.84679827683376,-1.48235660826421,0.693672902582214,0.969117421983814,0.370041970972978,"1"
"28","Cloudveil",28,"Heterocloeon","Biofilm",0.817,0.104,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"29","Cloudveil",29,"Heterocloeon","CPOM",0.072,0.069,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"30","Cloudveil",30,"Heterocloeon","Hydrurus",0.111,0.095,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"31","Cloudveil",31,"Lednia","Biofilm",0.934,0.051,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"32","Cloudveil",32,"Lednia","CPOM",0.029,0.033,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"33","Cloudveil",33,"Lednia","Hydrurus",0.038,0.04,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"34","Cloudveil",34,"Midges","Biofilm",0.824,0.085,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"35","Cloudveil",35,"Midges","CPOM",0.068,0.066,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"36","Cloudveil",36,"Midges","Hydrurus",0.109,0.089,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"37","Cloudveil",37,"Zapada","Biofilm",0.92,0.066,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"38","Cloudveil",38,"Zapada","CPOM",0.034,0.042,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"39","Cloudveil",39,"Zapada","Hydrurus",0.046,0.052,"Glacier","Boulder field",2897,2.1,3.6,10.46,5.4,0.043508486,1.503215378,9.6,22,75,1.15425145,21.47630682,756.3,1004.2,706.9,"Fl below DL",1.79611326028555,2.75816625378044,-0.945148844534177,0.826238428881658,0.474608687677338,0.214466776353703,"2"
"40","Delta",40,"Allomyia","Biofilm",0.68,0.104,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"41","Delta",41,"Allomyia","CPOM",0.143,0.089,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"42","Delta",42,"Allomyia","Hydrurus",0.177,0.081,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"43","Delta",43,"Homophylax","Biofilm",0.847,0.126,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"44","Delta",44,"Homophylax","CPOM",0.091,0.112,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"45","Delta",45,"Homophylax","Hydrurus",0.062,0.054,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"46","Delta",46,"Lednia","Biofilm",0.686,0.138,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"47","Delta",47,"Lednia","CPOM",0.136,0.113,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"48","Delta",48,"Lednia","Hydrurus",0.179,0.112,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"49","Delta",49,"Midges","Biofilm",0.438,0.098,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"50","Delta",50,"Midges","CPOM",0.119,0.077,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"51","Delta",51,"Midges","Hydrurus",0.443,0.088,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"52","Delta",52,"Tipula","Biofilm",0.275,0.194,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"53","Delta",53,"Tipula","CPOM",0.357,0.223,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"54","Delta",54,"Tipula","Hydrurus",0.368,0.213,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"55","Delta",55,"Zapada","Biofilm",0.806,0.105,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"56","Delta",56,"Zapada","CPOM",0.119,0.098,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"57","Delta",57,"Zapada","Hydrurus",0.075,0.055,"Glacier","Forested",2755,2,3.5,11.26,8.1,0.123527311,1.878139222,9.43,6,115,1.633319203,398.4,776.4,806.1,860.4,"",1.37831917736715,1.32547116621772,-0.298182320458932,-1.42973552084031,0.267933320679092,0.114386975009964,"3"
"58","Grizzly",58,"Homophylax","Biofilm",0.321,0.046,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"59","Grizzly",59,"Homophylax","CPOM",0.679,0.041,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"60","Grizzly",60,"Midges","Biofilm",0.379,0.083,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"61","Grizzly",61,"Midges","CPOM",0.621,0.0615,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"62","Grizzly",62,"Simuliidae","Biofilm",0.277,0.04,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"63","Grizzly",63,"Simuliidae","CPOM",0.723,0.0285,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"64","Grizzly",NA,"Homophylax","Hydrurus",0,NA,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"65","Grizzly",NA,"Midges","Hydrurus",0,NA,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"66","Grizzly",NA,"Simuliidae","Hydrurus",0,NA,"Snowmelt","Alpine tundra",2970,5.6,14.8,8.08,14.5,0.03995193,4.04497676,8.28,6,343,0.100120026,477.8,741.7,395,1766.4,"",-2.10194262147155,0.0667100433794383,0.624990103694666,0.527933235182413,0.61119589089667,0.287310537733596,"4"
"67","NFTC",64,"Allomyia","Biofilm",0.485,0.122,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"68","NFTC",68,"Homophylax","CPOM",0.159,0.11,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"69","NFTC",65,"Allomyia","CPOM",0.256,0.128,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"70","NFTC",66,"Allomyia","Hydrurus",0.258,0.146,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"71","NFTC",67,"Homophylax","Biofilm",0.576,0.114,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"72","NFTC",72,"Midges","Hydrurus",0.187,0.132,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"73","NFTC",69,"Homophylax","Hydrurus",0.265,0.167,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"74","NFTC",70,"Midges","Biofilm",0.393,0.076,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"75","NFTC",71,"Midges","CPOM",0.42,0.119,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"76","NFTC",76,"Tipula","Biofilm",0.806,0.157,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"77","NFTC",77,"Tipula","CPOM",0.109,0.134,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"78","NFTC",78,"Tipula","Hydrurus",0.084,0.088,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
"79","NFTC",73,"Simuliidae","Biofilm",0.405,0.161,"Snowmelt","Alpine tundra",2956,5.9,12.2,8.6,9.8,0.030826089,3.400886708,7.31,2,30,0.240312087,397.7,761.5,721.3,1002.5,"",-1.43135160884605,-0.214801656327271,1.17144403478667,0.988989070363659,0.30564683504888,0.134556417325878,"5"
